time;model_id;model_name;port_name;data
9.8;5;adder;;{noise: 6.26188, n1: 0, n2: 0, sum: 6.26188, sigma: 0}
9.8;6;noise;noise_out;6.26188
9.8;6;noise;;{value: -7.54245, sigma: 0.1}
9.8;1;electrode;;{input: 6.26188, threshold: 25, sigma: inf}
9.8;5;adder;sum_out;6.26188
9.8;5;adder;;{noise: 6.26188, n1: 0, n2: 0, sum: 6.26188, sigma: inf}
9.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
9.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
9.9;5;adder;;{noise: -7.54245, n1: 0, n2: 0, sum: -7.54245, sigma: 0}
9.9;6;noise;noise_out;-7.54245
9.9;6;noise;;{value: -9.50649, sigma: 0.1}
9.9;1;electrode;;{input: -7.54245, threshold: 25, sigma: inf}
9.9;5;adder;sum_out;-7.54245
9.9;5;adder;;{noise: -7.54245, n1: 0, n2: 0, sum: -7.54245, sigma: inf}
10;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
10;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
10;5;adder;;{noise: -9.50649, n1: 0, n2: 0, sum: -9.50649, sigma: 0}
10;6;noise;noise_out;-9.50649
10;6;noise;;{value: 10.0382, sigma: 0.1}
10;1;electrode;;{input: -9.50649, threshold: 25, sigma: inf}
10;5;adder;sum_out;-9.50649
10;5;adder;;{noise: -9.50649, n1: 0, n2: 0, sum: -9.50649, sigma: inf}
10.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
10.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
10.1;5;adder;;{noise: 10.0382, n1: 0, n2: 0, sum: 10.0382, sigma: 0}
10.1;6;noise;noise_out;10.0382
10.1;6;noise;;{value: 19.5375, sigma: 0.1}
10.1;1;electrode;;{input: 10.0382, threshold: 25, sigma: inf}
10.1;5;adder;sum_out;10.0382
10.1;5;adder;;{noise: 10.0382, n1: 0, n2: 0, sum: 10.0382, sigma: inf}
10.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
10.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
10.2;5;adder;;{noise: 19.5375, n1: 0, n2: 0, sum: 19.5375, sigma: 0}
10.2;6;noise;noise_out;19.5375
10.2;6;noise;;{value: 4.55889, sigma: 0.1}
10.2;1;electrode;;{input: 19.5375, threshold: 25, sigma: inf}
10.2;5;adder;sum_out;19.5375
10.2;5;adder;;{noise: 19.5375, n1: 0, n2: 0, sum: 19.5375, sigma: inf}
10.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
10.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
10.3;5;adder;;{noise: 4.55889, n1: 0, n2: 0, sum: 4.55889, sigma: 0}
10.3;6;noise;noise_out;4.55889
10.3;6;noise;;{value: -0.713336, sigma: 0.1}
10.3;1;electrode;;{input: 4.55889, threshold: 25, sigma: inf}
10.3;5;adder;sum_out;4.55889
